,Name,Age,Three_rtg,Two_rtg,Free_throw_rtg,Pass_rtg,draw_foul_rtg,take_three_prob,take_two_prob,make_ast_prob,turnover_prob,stamina,usageRate,rebound_rtg,steal_rtg,block_rtg,height,team
255,JaVale McGee,36,44,81,58,44,65,8,42,7,96,55,69,64,19,67,83,SAC
256,Bryce McGowens,21,65,66,75,54,71,36,29,24,53,67,18,52,28,16,77,CHO
257,Jordan McLaughlin,27,79,45,60,73,45,31,12,56,4,57,43,46,56,32,71,MIN
258,DeAnthony Melton,25,82,56,83,83,81,87,55,73,18,84,56,74,98,57,74,PHI
259,Sam Merrill,27,91,43,93,70,45,85,6,51,2,68,42,53,19,4,75,CLE
260,Chimezie Metu,26,56,78,88,46,67,29,29,11,94,61,34,66,39,32,80,PHO
261,Vasilije Micic,30,55,67,81,86,62,43,44,78,24,67,72,47,28,16,76,TOT
262,Khris Middleton,32,83,81,83,92,81,74,75,88,32,81,84,80,74,45,79,MIL
263,Brandon Miller,21,85,72,82,77,81,90,84,64,76,91,68,80,74,76,81,CHO
264,Jordan Miller,24,74,64,65,40,45,12,12,0,99,51,26,42,1,4,76,LAC
265,Leonard Miller,20,57,75,65,44,41,14,12,7,5,51,48,49,5,16,81,MIN
266,Dariq Whitehead,19,44,53,50,68,62,31,12,48,68,61,38,55,1,67,78,BRK
267,Patty Mills,35,79,46,65,50,41,41,14,18,55,59,10,45,28,4,71,TOT
268,Shake Milton,27,55,56,81,64,65,29,42,41,49,62,56,51,28,16,76,TOT
269,Josh Minott,21,42,52,85,41,53,12,8,2,43,50,72,42,5,32,79,MIN
270,Davion Mitchell,25,66,68,74,72,50,41,24,54,17,64,33,45,10,16,72,SAC
271,Donovan Mitchell,27,88,84,86,96,96,99,92,95,38,97,95,87,99,67,73,CLE
272,Evan Mobley,22,57,91,70,83,89,22,89,73,62,89,65,97,74,97,83,CLE
273,Isaiah Mobley,24,61,44,65,62,41,27,12,37,1,57,10,46,10,4,80,CLE
274,Malik Monk,25,84,74,81,93,86,88,74,90,26,81,89,66,56,76,74,SAC
275,Moses Moody,21,67,75,78,50,71,57,51,18,87,70,44,67,56,57,76,GSW
276,Wendell Moore Jr,22,44,71,65,40,41,12,2,1,96,50,1,41,19,16,76,MIN
277,Ja Morant,24,68,86,81,98,97,86,96,98,21,97,97,88,65,76,74,MEM
278,Markieff Morris,34,71,43,75,48,43,33,12,15,81,56,28,49,19,16,80,DAL
279,Monte Morris,28,60,54,66,77,50,43,46,64,0,65,59,52,39,32,73,TOT
280,Trey Murphy III,23,89,79,76,73,82,95,43,56,7,83,50,79,65,67,79,NOP
281,Dejounte Murray,27,83,80,80,94,90,90,92,93,27,97,88,86,94,45,76,ATL
282,Jamal Murray,26,93,78,83,96,87,87,91,96,12,90,91,77,74,82,75,DEN
283,Keegan Murray,23,81,81,84,70,75,88,71,51,43,92,36,86,88,82,80,SAC
284,Kris Murray,23,57,65,61,58,55,45,31,32,66,68,15,64,65,32,80,POR
285,Mike Muscala,32,61,47,70,52,53,47,16,21,64,63,16,62,10,45,82,TOT
286,Svi Mykhailiuk,26,63,47,50,46,43,45,5,11,58,54,32,44,19,4,78,BOS
287,Larry Nance Jr,31,78,80,72,70,62,24,39,51,43,72,8,85,82,57,79,NOP
288,Andrew Nembhard,24,71,77,81,89,58,47,67,83,26,77,61,55,82,16,75,IND
289,Aaron Nesmith,24,93,78,73,66,77,75,57,45,66,83,30,74,82,82,77,IND
290,Georges Niang,30,79,72,83,62,55,76,42,37,69,75,29,71,19,32,79,CLE
291,Zeke Nnaji,23,50,53,71,48,67,14,31,15,81,58,37,56,19,82,81,DEN
292,Markquis Nowell,24,44,40,65,74,79,3,12,59,43,51,99,55,82,4,68,TOR
293,Frank Ntilikina,25,46,40,65,52,47,33,1,21,5,56,8,46,1,4,76,CHO
294,Jusuf Nurkic,29,52,85,64,87,90,29,76,80,60,83,69,97,82,93,83,PHO
295,Jordan Nwora,25,62,61,87,58,60,43,39,32,51,59,70,57,28,16,78,TOT
296,Royce ONeale,30,82,48,67,82,50,84,18,72,14,79,24,84,65,76,76,TOT
297,Chuma Okeke,25,59,62,40,46,42,41,6,11,58,58,4,53,10,32,79,ORL
298,Josh Okogie,25,58,60,74,58,77,34,27,32,51,69,19,62,74,57,75,PHO
299,Onyeka Okongwu,23,62,90,80,64,81,27,68,41,62,80,17,93,28,93,80,ATL
300,Isaac Okoro,23,84,78,68,74,80,57,56,59,28,82,22,67,74,76,77,CLE
301,Kelly Olynyk,32,78,81,83,88,81,39,54,83,22,75,68,84,74,45,83,TOT
302,Eugene Omoruyi,26,51,74,72,50,62,21,37,18,72,54,80,55,48,4,78,WAS
303,Cedi Osman,28,76,76,68,72,58,56,33,54,30,69,35,60,39,16,79,SAS
304,Kelly Oubre Jr,28,69,77,73,64,89,75,79,41,82,86,62,83,92,67,78,PHI
305,Chris Paul,38,80,63,83,97,67,68,57,97,1,82,67,76,94,16,73,GSW
306,Cameron Payne,29,76,61,86,78,65,59,40,65,7,68,64,48,39,16,73,TOT
307,Gary Payton II,31,65,80,64,56,50,29,44,28,58,66,17,65,82,45,74,GSW
308,Julian Phillips,20,58,57,68,42,50,22,12,4,69,55,5,43,10,32,79,CHI
309,Jalen Pickett,24,57,67,75,50,43,24,2,18,55,52,46,41,5,4,74,DEN
310,Mason Plumlee,33,44,83,66,64,83,3,49,41,62,67,35,89,19,57,83,LAC
311,Brandin Podziemski,20,80,68,62,88,69,63,65,81,14,82,50,89,65,32,76,GSW
312,Jakob Poeltl,28,44,93,55,78,80,3,79,65,58,81,42,95,56,96,84,TOR
313,Aleksej Pokusevski,22,53,43,66,48,50,24,8,15,43,53,36,45,10,45,83,TOT
314,Jordan Poole,24,75,69,86,87,86,93,81,80,60,86,85,61,88,57,75,WAS
315,Craig Porter Jr,23,68,72,72,78,67,19,58,65,28,64,73,59,39,45,73,CLE
316,Michael Porter Jr,25,91,83,81,68,69,93,74,48,74,90,47,93,39,82,82,DEN
317,Otto Porter Jr,30,64,66,65,46,43,31,6,11,2,60,0,53,19,45,79,TOR
318,Bobby Portis,28,79,80,79,62,75,56,81,37,81,78,62,93,56,57,81,MIL
319,Kristaps Porzingis,28,84,90,85,74,95,81,83,59,79,88,80,93,48,97,86,BOS
320,Dwight Powell,32,71,79,72,68,73,3,24,48,14,65,9,71,28,57,81,DAL
321,Norman Powell,30,94,74,82,58,80,80,64,32,80,80,49,62,48,45,75,LAC
322,Joshua Primo,21,44,53,65,40,41,16,12,0,99,52,73,41,1,67,76,LAC
323,Taurean Prince,29,86,65,71,70,58,77,40,51,54,85,10,66,65,67,78,LAL
324,Payton Pritchard,26,82,69,82,80,53,73,33,68,3,74,41,67,28,16,73,BOS
325,Olivier-Maxence Prosper,21,51,47,67,48,62,24,15,15,16,55,39,53,10,16,79,DAL
326,Neemias Queta,24,44,79,72,46,60,3,49,11,79,61,21,80,28,76,83,BOS
327,Immanuel Quickley,24,92,66,83,90,88,89,74,85,9,86,81,72,56,16,74,TOT
328,Julius Randle,29,72,84,78,92,97,82,95,88,71,97,93,96,39,45,80,NYK
329,Duop Reath,27,81,77,71,58,72,67,52,32,74,71,57,74,39,76,81,POR
330,Austin Reaves,25,83,84,86,94,89,77,74,91,28,90,74,78,74,32,76,LAL
331,Cam Reddish,24,69,55,77,62,67,51,43,37,69,76,11,58,88,45,78,LAL
332,Paul Reed,24,71,79,71,64,60,19,65,41,49,72,27,89,56,89,81,PHI
333,Naz Reid,24,90,75,75,62,75,76,65,37,87,77,59,84,56,89,81,MIN
334,Nick Richards,26,44,91,72,52,86,3,70,21,94,81,13,94,28,95,82,CHO
335,Josh Richardson,30,75,74,94,77,69,73,53,64,16,80,35,64,48,45,77,MIA
336,Orlando Robinson,23,76,55,75,56,60,16,26,28,58,58,36,64,19,45,82,MIA
337,Jeremiah Robinson-Earl,23,75,65,80,44,53,26,19,7,87,57,15,57,19,16,80,NOP
338,David Roddy,22,62,62,69,66,67,54,58,45,72,74,43,72,28,32,76,TOT
339,Ryan Rollins,21,75,59,76,58,75,12,31,32,66,53,92,45,65,45,74,WAS
340,Derrick Rose,35,69,66,88,84,65,34,66,75,26,68,81,53,19,16,73,MEM
341,Terry Rozier,29,80,77,86,96,90,92,87,95,9,94,88,78,82,45,72,TOT
